,Actual,Predicted,nPredictions,name
772,left,up,2,GRUModel
773,left,down,0,GRUModel
774,left,left,377,GRUModel
775,left,right,2,GRUModel
776,left,on,0,GRUModel
777,left,off,0,GRUModel
778,left,stop,0,GRUModel
779,left,go,0,GRUModel
780,left,unknown word,2,GRUModel
781,right,yes,0,GRUModel
782,right,no,0,GRUModel
783,right,up,2,GRUModel
784,right,down,0,GRUModel
785,right,left,1,GRUModel
786,right,right,385,GRUModel
787,right,on,0,GRUModel
788,right,off,0,GRUModel
789,right,stop,1,GRUModel
790,right,go,1,GRUModel
791,right,unknown word,6,GRUModel
792,on,yes,0,GRUModel
793,on,no,0,GRUModel
794,on,up,5,GRUModel
795,on,down,0,GRUModel
796,on,left,0,GRUModel
797,on,right,2,GRUModel
798,on,on,363,GRUModel
799,on,off,14,GRUModel
800,on,stop,0,GRUModel
801,on,go,4,GRUModel
802,on,unknown word,8,GRUModel
803,off,yes,1,GRUModel
804,off,no,0,GRUModel
805,off,up,8,GRUModel
806,off,down,0,GRUModel
807,off,left,0,GRUModel
808,off,right,0,GRUModel
809,off,on,2,GRUModel
810,off,off,370,GRUModel
811,off,stop,0,GRUModel
812,off,go,10,GRUModel
813,off,unknown word,5,GRUModel
814,stop,yes,0,GRUModel
815,stop,no,0,GRUModel
816,stop,up,6,GRUModel
817,stop,down,1,GRUModel
818,stop,left,0,GRUModel
819,stop,right,1,GRUModel
820,stop,on,0,GRUModel
821,stop,off,0,GRUModel
822,stop,stop,382,GRUModel
823,stop,go,3,GRUModel
824,stop,unknown word,3,GRUModel
825,go,yes,0,GRUModel
826,go,no,8,GRUModel
827,go,up,7,GRUModel
828,go,down,1,GRUModel
829,go,left,0,GRUModel
830,go,right,0,GRUModel
831,go,on,0,GRUModel
832,go,off,0,GRUModel
833,go,stop,0,GRUModel
834,go,go,378,GRUModel
835,go,unknown word,2,GRUModel
836,unknown word,yes,1,GRUModel
837,unknown word,no,6,GRUModel
838,unknown word,up,6,GRUModel
839,unknown word,down,6,GRUModel
840,unknown word,left,11,GRUModel
841,unknown word,right,14,GRUModel
842,unknown word,on,5,GRUModel
843,unknown word,off,3,GRUModel
844,unknown word,stop,1,GRUModel
845,unknown word,go,11,GRUModel
846,unknown word,unknown word,357,GRUModel
